,tasterID,taster_name,taster_twitter_handle
0,1,Anne Krebiehl MW,@AnneInVino
1,2,Christina Pickard,@winewchristina
2,3,Fiona Adams,@bkfiona
3,4,Jeff Jenssen,@worldwineguys
4,5,Jim Gordon,@gordone_cellars
5,6,Joe Czerwinski,@JoeCz
6,7,Kerin O’Keefe,@kerinokeefe
7,8,Lauren Buzzeo,@laurbuzz
8,9,Matt Kettmann,@mattkettmann
9,10,Michael Schachner,@wineschach
10,11,Mike DeSimone,@worldwineguys
11,12,Paul Gregutt,@paulgwine 
12,13,Roger Voss,@vossroger
13,14,Sean P. Sullivan,@wawinereport
14,15,Susan Kostrzewa,@suskostrzewa
15,16,Virginie Boone,@vboone
